sleeve,pipe,setup,tag
Steel,Steel,Single,Diesel
Steel,Steel,Parallel,Diesel
Steel,Steel,Parallel Mix,Diesel
Steel,Steel,Dual,Diesel
Steel,Steel,Dual Various,Diesel
Steel,Steel,Bundle Mix,Diesel
Steel,Steel,Single,Jet fuel
Steel,Steel,Parallel,Jet fuel
Steel,Steel,Parallel Mix,Jet fuel
Steel,Steel,Dual,Jet fuel
Steel,Steel,Dual Various,Jet fuel
Steel,Steel,Bundle Mix,Jet fuel
Steel,Steel,Single,Medium Pressure Gas
Steel,Steel,Parallel,Medium Pressure Gas
Steel,Steel,Parallel Mix,Medium Pressure Gas
Steel,Steel,Dual,Medium Pressure Gas
Steel,Steel,Dual Various,Medium Pressure Gas
Steel,Steel,Bundle Mix,Medium Pressure Gas
Steel,Steel,Single,Low Pressure Gas
Steel,Steel,Parallel,Low Pressure Gas
Steel,Steel,Parallel Mix,Low Pressure Gas
Steel,Steel,Dual,Low Pressure Gas
Steel,Steel,Dual Various,Low Pressure Gas
Steel,Steel,Bundle Mix,Low Pressure Gas
Steel,Steel,Single,High/Transmission Pressure Gas
Steel,Steel,Parallel,High/Transmission Pressure Gas
Steel,Steel,Parallel Mix,High/Transmission Pressure Gas
Steel,Steel,Dual,High/Transmission Pressure Gas
Steel,Steel,Dual Various,High/Transmission Pressure Gas
Steel,Steel,Bundle Mix,High/Transmission Pressure Gas
Steel,Steel,Single,Ground Dewatering
Steel,Steel,Parallel,Ground Dewatering
Steel,Steel,Parallel Mix,Ground Dewatering
Steel,Steel,Dual,Ground Dewatering
Steel,Steel,Dual Various,Ground Dewatering
Steel,Steel,Bundle Mix,Ground Dewatering
Jacking Pipe,HDPE,Single,Potable Water
Jacking Pipe,Steel,Single,Raw Water
Jacking Pipe,Steel,Bundle Mix,Low Pressure Gas,
